latitude|longitude|Date
9.58963|-79.86008|07-18
8.80245|-79.44685|07-18
9.598230000000001|-79.8593|07-18
9.49635|-79.99816|07-18
9.55965|-79.86282|07-18
9.60667|-79.86577|07-18
9.489090000000001|-79.93518|07-19
9.46542|-79.89055|07-19
9.46608|-79.82799|07-19
9.353110000000001|-79.91374|07-19
8.95932|-79.57578|07-19
8.86654|-79.47456|07-19
9.45683|-79.8465|07-19
8.95719|-79.57463|07-19
9.35234|-79.90751|07-19
9.46331|-79.92938|07-19
9.35586|-79.88222|07-19
9.3593|-79.88384|07-19
8.9628|-79.56951|07-19
8.95783|-79.56521|07-19
8.95533|-79.56567|07-19
9.35817|-79.89082|07-19
9.36682|-79.88442|07-19
9.45439|-79.87635|07-19
8.95379|-79.56715|07-19
9.37144|-79.88656|07-19
9.01448|-79.61765|07-19
9.37194|-79.88834|07-19
8.98466|-79.5914|07-19
9.49326|-79.87675|07-19
9.35751|-79.88298|07-19
9.37466|-79.89037|07-19
8.7614|-79.4184|07-19
9.54385|-79.87493|07-19
9.51078|-79.89841|07-19
8.7933|-79.43949|07-19
8.75113|-79.49655|07-19
8.79335|-79.43472|07-19
9.57296|-79.86939|07-19
8.73175|-79.40998|07-19
9.56202|-79.8837|07-19
8.78847|-79.4318|07-19
9.62238|-79.85872|07-19
9.59459|-79.88424|07-19
9.5797|-79.88985|07-19
8.79504|-79.44405|07-19
9.57307|-79.87486|07-19
8.75942|-79.42099|07-19
8.71858|-79.4059|07-19
9.56788|-79.87574|07-19
9.57151|-79.85779|07-19
9.57155|-79.8661|07-19
9.5637|-79.88288|07-19
8.76793|-79.42602|07-19
9.60983|-79.88617|07-19
8.80879|-79.587|07-20
9.49217|-79.93276|07-20
9.49258|-79.87572|07-20
8.80362|-79.47113|07-20
9.61526|-79.88577|07-20
9.4655|-79.88848|07-20
9.35246|-79.91079|07-20
9.45439|-79.8745|07-20
9.35747|-79.88309|07-20
9.36145|-79.88479|07-20
9.4565|-79.84533|07-20
8.85315|-79.48235|07-20
9.35592|-79.88225|07-20
8.95714|-79.57469|07-20
8.97714|-79.58552|07-20
8.95411|-79.57483|07-20
9.353110000000001|-79.91374|07-20
9.35811|-79.8908|07-20
9.3692|-79.88641|07-20
8.88736|-79.49335|07-20
9.37225|-79.88527|07-20
9.35209|-79.90808|07-20
9.4252|-79.9077|07-20
9.37476|-79.89047|07-20
9.17136|-79.82817|07-20
9.35926|-79.8838|07-20
8.96304|-79.56955|07-20
8.89744|-79.52967|07-20
8.86797|-79.49087|07-20
9.35074|-79.90635|07-20
9.46062|-79.94091|07-20
8.9218|-79.54812|07-20
8.9603|-79.56718|07-20
9.4333|-79.87868|07-20
9.37121|-79.88693|07-20
9.45467|-79.88745|07-20
8.85942|-79.48523|07-20
9.0007|-79.59593|07-20
9.46983|-79.84617|07-20
9.3782|-79.89695|07-20
